customer_id,name,age,income,purchase_count,total_spend,gender_female,gender_male,gender_other,city_bengaluru,city_chennai,city_delhi,city_hyderabad,city_mumbai,city_pune,preferred_category_clothing,preferred_category_electronics,preferred_category_grocery,preferred_category_home,preferred_category_sports,satisfaction_high,satisfaction_low,satisfaction_medium
C0001,Customer_0001,0.0,-0.42870245381421296,-0.4016892802540012,-0.2596916287352361,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
C0002,Customer_0002,0.0,1.0298097213257655,0.03492950263078275,0.7818028554716873,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
C0003,Customer_0003,-0.39671191783366944,4.0420784513174974e-16,-1.2749268460235692,-1.1431494182209403,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C0004,Customer_0004,0.0,-0.7814141853585005,0.03492950263078275,0.9842014177929232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C0005,Customer_0005,-0.39671191783366944,-0.633085263760887,-0.8383080631387851,-1.1388285694843872,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
C0006,Customer_0006,-0.24400544659548384,0.4142169197440599,-0.4016892802540012,-1.1372314604284506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
C0007,Customer_0007,0.21411396711907302,0.412883626066778,-1.2749268460235692,-0.6518110118371369,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C0008,Customer_0008,1.1303527945481868,-0.6813060517559164,-0.4016892802540012,-1.0516264150302548,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
C0009,Customer_0009,-1.389303980881876,-0.31153927192306435,-0.8383080631387851,-0.029965979739666016,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
C0010,Customer_0010,-1.847423394596433,1.7692321731850296,0.9081670684003507,2.038738697038918,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C0011,Customer_0011,0.5195269095954442,-0.6640843417576916,-0.4016892802540012,-0.9354355510810308,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
C0012,Customer_0012,-0.9311845671673191,1.8331747157913416,0.03492950263078275,0.09954776339834046,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C0013,Customer_0013,0.0,1.0260876098100202,-0.4016892802540012,-0.8540364884478775,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
C0014,Customer_0014,-0.16765221097639102,1.6477913407459348,0.03492950263078275,-0.13290634579722363,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C0015,Customer_0015,0.0,-0.7065830777210528,-0.4016892802540012,-1.0639029124237687,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
C0016,Customer_0016,0.5195269095954442,-0.24609677392981022,0.4715482855155667,-0.3457246678902938,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C0017,Customer_0017,0.36682043835725864,-0.526699539094434,1.7814046341699186,0.8501323734559652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
